mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
168.79092292785646,3.032718711928781,0.8061721324920654,0.02385784582329047,200,2,sqrt,,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.8868145712926646,0.8379807550980942,0.9251029366670742,0.8637720346861889,0.8999335204582772,0.8827207636404598,0.029899864689238387,1,0.9991267999796243,0.9991366296415428,0.9992385405540314,0.9992710977980575,0.9992975797421643,0.9992141295430841,6.991123321711271e-05
243.68424959182738,2.371154021368453,1.1501078128814697,0.023159383084362533,300,4,sqrt,30,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30}",0.8872613789397497,0.8388043928895667,0.9190348518980811,0.8660369680728816,0.8995808130077293,0.8821436809616016,0.02767281333845431,4,0.9958928767799818,0.996003547754053,0.9962854112893358,0.9961379379968859,0.9962165775401248,0.9961072702720764,0.0001423697583203889
54.909346437454225,0.3428417824245414,0.3877883434295654,0.007588315525707883,100,1,sqrt,10,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}",0.8368712694753323,0.8033429604335753,0.831047660931928,0.8689955358300945,0.8409551386262093,0.8362425130594279,0.020998722468697276,16,0.9102562638955287,0.9308637045570933,0.9170290398976411,0.9116294834275346,0.9090181856065852,0.9157593354768766,0.008031646045240527
85.67464017868042,1.2818818020227947,0.42797164916992186,0.015371220705558507,100,1,sqrt,,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",0.8815988816606906,0.8373783173602922,0.9281202114449759,0.8600866002740228,0.8978801913206266,0.8810128404121216,0.031131445533160437,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75.22343444824219,0.5302016439592507,0.7578468799591065,0.014141788454445664,200,1,log2,10,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10}",0.8387485767105874,0.806229444055463,0.8198963304342199,0.8582841482831147,0.8389595050340567,0.8324236009034884,0.017858094136426906,17,0.9080381852201015,0.9248488381162516,0.9136174183424107,0.9073774961081376,0.9039465408459674,0.9115656957265739,0.007330583946025084
162.98161964416505,1.2951059487333845,1.1547133445739746,0.026700299833253244,300,2,log2,20,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20}",0.886194323275038,0.8345580116352642,0.9218313291821137,0.8632265239131117,0.8989206356940025,0.880946164739906,0.029960199815909732,10,0.9932974506556081,0.9937659237560384,0.9938298033607071,0.9942902940667195,0.9934252751105973,0.9937217493899342,0.00034779203526834123
115.23910779953003,0.8594760350115669,0.8069765090942382,0.018949133355835292,200,1,log2,,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.8774725819222363,0.8344373144069837,0.9222951530290844,0.8627636575006806,0.8982086925899417,0.8790354798897855,0.029984071183597905,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75.79171686172485,0.26482547666271006,0.7518168449401855,0.011499137234471152,200,4,log2,10,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10}",0.835061057476461,0.8069494517455745,0.813883455310715,0.8581181874868724,0.8398243126176121,0.8307672929274471,0.018443920321364913,19,0.9070541431542577,0.9256199890995214,0.910482607117085,0.9096987831247225,0.9061384881214088,0.9117988021233991,0.007095330885208406
57.09602060317993,0.7958047345430113,0.4291262149810791,0.008374195692119966,100,2,log2,,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",0.8808605817027724,0.8364646034405173,0.930740489872447,0.863642030907919,0.8991327657032196,0.8821680943253749,0.03187730031921653,3,0.9988256237529441,0.9989624746257098,0.9989762166905068,0.9989697292562836,0.9990452776963568,0.9989558644043601,7.156466832660094e-05
85.29846963882446,0.821795092004351,0.41788411140441895,0.011688232920849903,100,1,sqrt,30,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",0.8846071157109874,0.8348974526548465,0.9237778644175721,0.861438233928957,0.8979768994738102,0.8805395132372347,0.030457246779252434,11,0.9996004730871896,0.9996626541658332,0.9996553242771349,0.9995933835207644,0.9996669682023589,0.9996357606506562,3.2002941102732984e-05
