mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
164.03940086364747,13.255392212037549,1.134140968322754,0.15642408130077984,1.0,500,3,3,0.01,0.8,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.7886477001613239,0.7883970397254441,0.7649580304254804,0.8086431872529446,0.7815227666677986,0.7864337448465983,0.014052327020730592,17,0.8418621712997989,0.856424067550671,0.8345320331137669,0.8498472932532115,0.8383163060345382,0.8441963742503973,0.007935648231427988
37.796789455413816,0.8351351112370814,0.2757099151611328,0.016633308655635868,0.8,100,3,4,0.01,1.0,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.7650987261723906,0.7658883339742941,0.7533248400220531,0.7889706563399269,0.7566808456865521,0.7659926804390433,0.01245778364080218,18,0.8200704119816136,0.8437106683362746,0.8294859657553527,0.8316846178378965,0.8218812459743405,0.8293665819770956,0.008409392223901762
79.59937191009521,5.109787915359346,0.5945946216583252,0.09180375311617192,0.8,200,3,4,0.01,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.7934037998085585,0.7857365466314573,0.7661395943865431,0.8079882685956065,0.7809298456801426,0.7868396110204616,0.01382018131389698,16,0.8475933747047245,0.8669484939133899,0.8492114356592999,0.8518585188131487,0.8461423704173475,0.8523508387015821,0.007541462857231351
208.02334003448487,18.611748545103442,1.3685317993164063,0.17621083764538464,0.8,500,3,4,0.1,1.0,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.8889385865305928,0.8550272963061075,0.8901744549701811,0.901863719298706,0.8970233231478651,0.8866054760506905,0.016472449582112005,1,0.9944426767669325,0.9947796562794219,0.9945954295959271,0.9947613170054003,0.9942552962842065,0.9945668751863777,0.00019819456527235104
127.57742371559144,1.2098919622891542,1.22073335647583,0.020529000745339764,0.7,200,1,8,0.01,1.0,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.8473173372273728,0.8330202551041178,0.8247793693689861,0.8806082996493207,0.8484268018982912,0.8468304126496179,0.01908245354003633,14,0.9480986227981132,0.9600867322933176,0.9454905908971005,0.9539642039270272,0.9460682059322496,0.9507416711695618,0.005551859343061296
141.0299702644348,0.9317461602032793,0.973513126373291,0.03956299079458524,0.8,300,5,4,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.8833217874470511,0.8570933138991785,0.8844653913953424,0.8988727878204786,0.8895877298921748,0.882668202090845,0.013915462140315069,3,0.9854468879671617,0.9862523394022015,0.9855615711064123,0.9871708464871491,0.9850920790844232,0.9859047448094695,0.0007364322261149061
190.73061819076537,0.717088058728816,1.37889404296875,0.02241468016523602,1.0,500,3,3,0.01,0.7,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.7885692033009084,0.7904655901102108,0.7696773728201155,0.8073224006176012,0.7823001418096435,0.7876669417316957,0.012226288919612499,15,0.8428427666194673,0.8566753534324929,0.8387802537882065,0.8496509214364577,0.8400067367886063,0.8455912064130462,0.006700282071122869
121.44041738510131,0.7872125991507006,1.1667281150817872,0.01298232719787105,0.8,200,3,8,0.05,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.8794626721065285,0.8593910396242727,0.8677946992664402,0.8885482761589664,0.8888976202321758,0.8768188614776766,0.011624369183959779,10,0.9921324424638021,0.9919711266496589,0.9919917858199623,0.9930804295667838,0.9913274269455346,0.9921006422891484,0.0005634678979107966
109.02453136444092,0.7160386765064374,1.045262050628662,0.03193871715105582,0.8,200,5,6,0.1,0.8,"{'subsample': 0.8, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.8825298199523328,0.8552558436218459,0.8773754630518773,0.9013605945825557,0.8931301942768778,0.8819303830970979,0.01572009266010147,6,0.9929745402248801,0.9929169970627344,0.9932317883045736,0.9937455860672268,0.9925651522245564,0.9930868127767944,0.00039206437896303046
123.25024719238282,2.4574378204064398,1.027643632888794,0.03298097484134547,1.0,300,1,4,0.05,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.86017957528828,0.84658182024186,0.8613749757230847,0.8898423703197498,0.8687715204203682,0.8653500523986685,0.014187048227087365,13,0.9601311645513763,0.9639483425411257,0.959419427939235,0.9644223711414417,0.958716622705024,0.9613275857756406,0.0023805747505525926
83.76331148147582,0.913364407360196,0.7264435291290283,0.033964975336167075,1.0,200,1,4,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.86939823557248,0.8481441817167337,0.8809778221095741,0.8948189190375798,0.8767461315728701,0.8740170580018475,0.015358103723886105,11,0.9735451847223511,0.9758772136256245,0.9729644989033486,0.9774747660899168,0.9733735946520732,0.9746470515986628,0.001742185675355291
109.6655249118805,1.2778817612186941,0.8790592670440673,0.048260062750087915,1.0,300,3,3,0.01,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.7551626491274244,0.7597567810174385,0.7287592511505004,0.7671187061988018,0.7524150003236274,0.7526424775635585,0.01293820716820632,20,0.8025367575231398,0.8253496423432128,0.7965944560751164,0.805314682634505,0.7932115604565537,0.8046014198065056,0.01121695749164054
